,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C1_posY,C2_posX,C2_posY,C3_posX,C3_posY,C4_posX,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int
649,60198.71868948576,102099.89116043164,2,,4377,,2981,,,60171.21613678469,102090.13417530774,,,60226.22124218682,102109.64814555552,,125.24950208458873,,173.38035556021424,,16164.75376190474,,13215.365994640264
650,61313.62324773565,123252.14993840017,2,,,6032,3055,,,,,61279.62049736426,123200.5751129441,61347.625998107054,123303.72476385624,,,153.21966676492727,100.32783280418236,,,26880.072395737745,1843.9748354686888
651,20016.520883510915,103893.4189456754,2,,1360,1703,,,,20087.647245702134,103904.21718439837,19945.3945213197,103882.62070695242,,,,150.6856617067687,152.23987622656176,,,63630.34757208849,136913.43664018167,
652,43024.87090374624,60551.86294393364,2,,3052,4057,,,,42978.55659596353,60599.19047355595,43071.18521152895,60504.53541431132,,,,275.42446036279574,154.53050240199195,,,222388.13040370576,79998.36432813584,
653,60188.48649111873,77490.78432037661,2,,4375,5925,,,,60165.18488971316,77511.77501916196,60211.78809252431,77469.79362159125,,,,104.95819392926931,115.46764038917084,,,50117.561771896864,76063.04985236902,
654,42851.575961097136,44475.22580147869,2,,3049,,1850,,,42830.23737972664,44455.64563736884,,,42872.91454246763,44494.80596558855,,94.98916097720084,,185.42688894904285,,54024.08220417732,,11304.63495957684
655,42726.890763586634,107294.37543706229,2,,3047,4005,,,,42778.11417451713,107337.05221968792,42675.667352656135,107251.69865443668,,,,110.76119312861267,122.90645673263776,,,24639.243572604297,78815.12100565559,
656,20201.198267846077,125044.06003016979,2,,1367,1732,,,,20233.683466708877,124984.12668288048,20168.71306898328,125103.9933774591,,,,93.38289048861373,121.7239858387031,,,11523.181818259856,28635.046196357263,
657,115111.781575114,69415.84287293842,2,,,11005,6918,,,,,115096.81646688037,69474.73411851212,115126.74668334764,69356.95162736472,,,135.24798684029815,160.91968534067837,,,30156.600791396173,25883.438061374534
658,66049.19508054137,45508.52108979235,2,,4828,6554,,,,66022.48984315881,45512.29672142329,66075.90031792392,45504.74545816142,,,,97.87424532563855,108.74547619796816,,,63135.5747639827,258484.58377950056,
659,114871.37248839028,82516.85376740167,2,1983,,,6904,114848.1174882422,82480.37359192649,,,,,114894.62748853836,82553.33394287685,217.22910452863368,,,263.9518535978804,41800.560457626685,,,24728.83621889103
660,72892.66382088419,2180.84170266724,2,1413,5345,,,72835.76436049242,2229.6166741765264,72949.56328127597,2132.0667311579537,,,,,111.6445394611116,93.74568269358404,,,6879.969510858318,17963.508582699204,,
661,18760.13019884926,122798.19006223754,2,,,1610,627,,,,,18811.561394962508,122774.01310515607,18708.69900273601,122822.367019319,,,131.5065595581487,152.19744279063798,,,18214.64804443321,8786.338889716748
