,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C2_posX,C3_posX,C4_posX,C1_posY,C2_posY,C3_posY,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int,C1_int_sig,C2_int_sig,C3_int_sig,C4_int_sig
9627,17885.227841467473,27803.40275790602,1,,,1087,,,,17885.227841467473,,,,27803.40275790602,,0.0,0.0,112.22667157369928,0.0,104.5663773255224,116.09011184074858,116439.59575782993,55.75037519408884,,,9.245034230022116,
9628,17874.19548365181,38991.1049325475,1,,,1088,,,,17874.19548365181,,,,38991.1049325475,,0.0,0.0,117.73071469219065,0.0,104.5663773255224,116.09011184074858,58743.69996281646,55.75037519408884,,,4.238202820207357,
9629,17980.830363520327,48552.636245364,1,,,1089,,,,17980.830363520327,,,,48552.636245364,,0.0,0.0,130.75597291617714,0.0,104.5663773255224,116.09011184074858,59814.73091525088,55.75037519408884,,,3.498525794719796,
9630,17902.098953691308,73376.18215661774,1,,,1091,,,,17902.098953691308,,,,73376.18215661774,,0.0,0.0,109.9695820934902,0.0,104.5663773255224,116.09011184074858,116878.83196370724,55.75037519408884,,,9.664751979857918,
9631,15339.717581768982,16897.069461186748,1,,,916,,,,15339.717581768982,,,,16897.069461186748,,0.0,0.0,116.04016123517906,0.0,104.5663773255224,116.09011184074858,90035.94172766204,55.75037519408884,,,6.68650639449139,
9632,17906.858333672884,85146.81349527203,1,,,1092,,,,17906.858333672884,,,,85146.81349527203,,0.0,0.0,103.85121010122707,0.0,104.5663773255224,116.09011184074858,30928.504022872934,55.75037519408884,,,2.8677137016558194,
9633,17881.130755285423,87784.46142230992,1,,,1093,,,,17881.130755285423,,,,87784.46142230992,,0.0,0.0,103.9095507503638,0.0,104.5663773255224,116.09011184074858,133375.20486451485,55.75037519408884,,,12.352764594094348,
9634,17867.86093976444,112130.84871205957,1,,,1094,,,,17867.86093976444,,,,112130.84871205957,,0.0,0.0,113.02870893836152,0.0,104.5663773255224,116.09011184074858,23504.824987699092,55.75037519408884,,,1.8398375910498805,
9635,17942.361109297985,6888.385577042053,1,,,1095,,,,17942.361109297985,,,,6888.385577042053,,0.0,0.0,115.49529623282767,0.0,104.5663773255224,116.09011184074858,157711.56319051687,55.75037519408884,,,11.823197441062236,
9636,17972.32514881122,24480.812684742607,1,,,1096,,,,17972.32514881122,,,,24480.812684742607,,0.0,0.0,102.65384732485529,0.0,104.5663773255224,116.09011184074858,92561.4261068916,55.75037519408884,,,8.78374209481848,
9637,17955.70074222603,29557.822908279337,1,,,1097,,,,17955.70074222603,,,,29557.822908279337,,0.0,0.0,103.74002875332351,0.0,104.5663773255224,116.09011184074858,12602.227165027107,55.75037519408884,,,1.1709937464695106,
9638,17940.62155764504,47915.59718001073,1,,,1098,,,,17940.62155764504,,,,47915.59718001073,,0.0,0.0,107.47561638794541,0.0,104.5663773255224,116.09011184074858,139368.1981167872,55.75037519408884,,,12.06545755084229,
9639,17969.950324003406,56331.77985552898,1,,,1099,,,,17969.950324003406,,,,56331.77985552898,,0.0,0.0,101.68814830552242,0.0,104.5663773255224,116.09011184074858,37838.08244079222,55.75037519408884,,,3.6592193253269425,
9640,17948.198806850498,108862.86895439614,1,,,1100,,,,17948.198806850498,,,,108862.86895439614,,0.0,0.0,150.3281556899787,0.0,104.5663773255224,116.09011184074858,29498.909033475666,55.75037519408884,,,1.3053449579242404,
