id,frame,x [nm],y [nm],sigma [nm],intensity [photon],log10(intensity),offset [photon],bkgstd [photon],chi2,uncertainty [nm]
29435,1,116537.4485,71575.96245,127.593,28350.34114,4.453,739.6496926,132.8504045,205.9344761,5.978743685
29436,1,116594.8075,82537.86821,217.257,252126.6086,5.402,7.93E-08,465.3195484,969.3046993,6.78469755
29437,1,116625.1827,95241.05806,127.177,47177.1579,4.674,1109.764452,373.5230603,959.0533864,9.970719503
29438,1,116603.4842,114386.354,120.040,64466.45263,4.809,711.9405367,173.6293789,208.7035182,3.054178174
29439,1,116655.2327,127961.4026,149.192,107288.2156,5.031,858.5112188,336.2224674,695.854152,5.440972914
29440,1,116614.5939,128422.3271,138.775,65927.16564,4.819,1100.020016,377.0654661,842.6941767,8.578501486
29441,1,116634.678,17177.27576,130.136,42754.34249,4.631,862.7853279,152.4040566,204.7542127,4.735039634
29442,1,116668.7564,27845.53818,118.233,47826.16762,4.680,1515.118015,202.3219348,261.5882652,4.628853533
29443,1,116671.5129,30429.20897,121.739,100122.4611,5.001,1493.828728,261.7183114,352.0842857,3.036154945
29444,1,116640.8748,42771.14431,108.230,72172.93406,4.858,1492.599915,259.3053249,350.1379637,3.296519163
29445,1,116686.8381,55523.8274,110.725,49006.636,4.690,1128.656094,182.0651893,236.4241891,3.576324704
29446,1,116646.8024,57938.66594,113.631,60899.50883,4.785,1419.128261,390.9682766,842.5177839,6.459786394
29447,1,116671.9252,65412.19614,116.985,33714.85974,4.528,970.6568054,182.3028871,284.6383784,5.787695764
29448,1,116608.6849,72129.03683,126.879,83123.40802,4.920,1527.38548,400.6320309,843.3900289,6.047045956
29449,1,116638.3814,77904.99077,123.784,51369.3528,4.711,804.50221,137.5616262,155.9440819,3.236680513
29450,1,116658.6373,90453.14699,217.957,274107.379,5.438,2.75E-10,464.5646237,1002.00072,6.271807562
29451,1,116673.7821,106567.424,109.897,51776.62108,4.714,673.5884427,130.687082,172.3425852,2.419487291
29452,1,116634.0657,108872.7558,138.073,88031.10267,4.945,542.3923947,305.878717,693.6771091,5.16996503
29453,1,116678.413,124663.0165,101.866,23344.04521,4.368,940.1416282,205.1319738,429.0642461,7.119567631
29454,1,116638.069,125450.8838,267.996,206963.5376,5.316,5.47E-08,396.9518125,1228.005165,10.72309484
29455,1,116690.0239,126218.252,118.699,70702.85824,4.849,778.3925316,257.3332178,420.3256186,4.011325924
29456,1,116723.9548,705.3888739,124.738,27781.85157,4.444,647.9431896,130.1321571,220.278437,5.715111379
29457,1,116727.3506,12440.55933,113.244,40038.2685,4.602,2024.557004,254.1961225,360.9757952,6.354193882
29458,1,116681.0649,13027.29211,242.209,302782.1937,5.481,2.83E-07,337.6967822,506.989715,5.104682391
29459,1,116710.8235,19968.39712,99.360,17620.49432,4.246,1363.599669,195.2390376,308.8552213,8.536183467
